Study,Y1,Y2,Y5,Y6,V11,V12,V15,V16,V22,V25,V26,V55,V56,V66,S11,S22,S55,S66,corr12,corr15,corr16,corr25,corr26,corr56,uvweight6,mvweight6,uBoS6,mvBoS6,hrstroke,lowerhrstroke,upperhrstroke,_LCI,_UCI,_WT
1,-6.664233,-2.988614,-0.0879826,-1.91358,0.7230616,0.3504944,0.0034721,-0.0091876,0.2722278,-0.0042609,-0.0112748,0.1667308,0.0705897,1.167421,0.8503303,0.5217546,0.4083268,1.080472,0.79,0.01,-0.01,-0.02,-0.02,0.16,0.47,3.88,0,3.29,0.1475513,0.0177511,1.226478,1.01791,3.409199,3.880388
2,-14.16601,-7.874312,0.0585179,-0.1459925,4.728005,1.302514,0.0847921,0.0900886,1.435314,0.0382243,0.0496368,0.1256746,0.0940014,0.171657,2.174398,1.198046,0.3545062,0.4143151,0.5,0.11,0.1,0.09,0.1,0.64,3.18,4.77,0,1.07,0.8641641,0.3836402,1.946563,1.467617,7.004569,4.770477
3,-12.88107,-6.011509,-0.166865,0.753264,10.30973,2.520989,-0.3022118,-0.0950596,1.770885,-0.0238574,-0.0315179,0.2008801,0.0265382,0.3505942,3.210877,1.330746,0.4481964,0.59211,0.59,-0.21,-0.05,-0.04,-0.04,0.1,1.56,3.71,0,1.8,2.123921,0.6654634,6.778796,1.945392,879.0099,3.710371
4,-8.708664,-5.109798,-0.2440465,-0.2875622,0.2951848,0.1343957,0.0083436,0.0027833,0.1032037,0.0071262,0.0032915,0.0291161,0.0227274,0.0656085,0.5433091,0.3212533,0.1706343,0.2561416,0.77,0.09,0.02,0.13,0.04,0.52,8.33,9.38,0,1.08,0.7500899,0.4540265,1.239211,1.57464,3.45289,9.380939
5,-8.701553,-4.63645,-0.1795313,-0.4084455,0.1405789,0.0539189,0.0026183,0.0050219,0.0504897,0.0015691,0.0030096,0.0304781,0.0245521,0.1121221,0.3749386,0.2246991,0.1745799,0.3348463,0.64,0.04,0.04,0.04,0.04,0.42,4.88,8.06,0,2.69,0.6646827,0.344816,1.281272,1.41173,3.601217,8.060806
6,-10.60237,-5.564794,-0.2285552,-0.1985812,0.5842536,0.163285,0,0.0040912,0.1825371,-0.001328,0,0.0241523,0.0171908,0.0318311,0.7643648,0.4272436,0.1554102,0.1784128,0.5,0,0.03,-0.02,0,0.62,17.17,14.04,0,0.3,0.8198932,0.5779487,1.163122,1.782378,3.199908,14.0414
7,-11.35744,-3.977884,-0.3158144,-0.4495284,0.2984707,0.0716121,-0.0007062,-0.0013821,0.0745742,-0.0010589,-0.0010362,0.0167078,0.0112812,0.0159989,0.5463247,0.2730827,0.1292587,0.1264869,0.48,-0.01,-0.02,-0.03,-0.03,0.69,34.17,24.89,0,5.07,0.6379289,0.4978569,0.8174103,1.645192,2.264627,24.89249
8,-17.92623,-6.537015,-1.873505,0.3170643,5.821138,1.630268,-0.0521654,-0.1542261,1.311613,-0.0371426,0,1.168684,0.3455194,0.833896,2.412704,1.145257,1.081057,0.913179,0.59,-0.02,-0.07,-0.03,0,0.35,0.66,2.62,0,1.79,1.373091,0.2292902,8.222672,1.257707,3724.439,2.620262
9,-6.548491,-2.084006,-0.3260556,-0.48373,0.4144522,0.094633,0.0216593,0.0103107,0.1067053,0.0029973,0.0019619,0.0935472,0.0477607,0.0400794,0.6437796,0.3266577,0.3058549,0.2001983,0.45,0.11,0.08,0.03,0.03,0.78,13.64,15.36,0,3.52,0.6164796,0.4163959,0.9127061,1.516486,2.491055,15.36154
10,-10.25582,-3.494257,-0.2566346,-0.5534967,0.1952633,0.0436902,0.0039199,0.0032723,0.0424293,0.0014618,0.0019067,0.0314769,0.0203642,0.0342735,0.441886,0.2059838,0.1774174,0.1851309,0.48,0.05,0.04,0.04,0.05,0.62,15.95,13.28,0,0.17,0.5749359,0.399975,0.82643,1.491787,2.285146,13.28133
